Student,ID,SIS User ID,SIS Login ID,Section,HW1 (101000),HW2 (101037),HW3 (101074),HW4 (101111),HW5 (101148),HW6 (101185),HW7 (101222),HW8 (101259),Quiz1 (101296),Quiz2 (101333),Quiz3 (101370),Quiz4 (101407),Exam1 (101444),Exam2a (101481),Exam2b (101518),Homework Current Score,Quizzes Current Score,Exams Current Score,Current Score
"Chen, Clutch",4000130,900077170S,clutch.chen@uni.edu,CS 2810 Section 01,0.4,1.8,3.8,5.1,6,8.1,8.1,10,7,11,17,20,58.2,100,,,,,
"Quinn, Quiz-Flunking",4000143,900084887S,quizflunking.quinn@uni.edu,CS 2810 Section 02,8.5,9.6,9.5,9.1,9.6,8.8,9.8,9.4,7.2,9.9,8.3,6.6,66.4,77.6,,,,,
"Ellis, Exam-Ace",4000156,900092604S,examace.ellis@uni.edu,CS 2810 Section 01,6.3,5.9,6.2,6.4,5.6,6.4,6.7,6.2,13.7,15.5,13.2,14.6,95.9,99.2,,,,,
"Bailey, Borderline",4000169,900100321S,borderline.bailey@uni.edu,CS 2810 Section 02,9,9,9,9,9,9,9,9,18,18,18,18,90,90,,,,,
"Reyes, Retake",4000182,900108038S,retake.reyes@uni.edu,CS 2810 Section 01,6.9,8.2,8.5,8.3,9.4,8.2,8.5,8.3,15.5,13.2,16.4,15.4,74.2,,85.7,,,,
"Mbeki, Makeup",4000195,900115755S,makeup.mbeki@uni.edu,CS 2810 Section 02,8,8.5,8,8.1,8.1,9.6,8.9,8.5,15.4,14.9,15.4,15.9,82.8,,99.9,,,,
"Walsh, Waived",4000208,900123472S,waived.walsh@uni.edu,CS 2810 Section 01,9.1,8.8,8.7,7.4,9.4,,8.4,8.6,16.2,17.6,17,19.2,81,76,,,,,
"Zheng, Zero",4000221,900131189S,zero.zheng@uni.edu,CS 2810 Section 02,7.2,8,8.9,8.5,8.1,8.3,7.2,8.6,14.7,15.8,15.6,16.9,0,80.1,,,,,
"Abbott, Cora",4000234,900138906S,cora.abbott@uni.edu,CS 2810 Section 01,6.9,7.8,8.5,7.5,8,8.3,7.7,7.8,13,16.1,15.1,14.6,81.5,94.4,,,,,
"Zhao, Xime",4000247,900146623S,xime.zhao@uni.edu,CS 2810 Section 02,7.2,6.8,6.9,5.9,7.7,6.9,6.4,7.5,16.3,18,16.3,14.7,63.4,58.1,,,,,
"Nakamura, Cora",4000260,900154340S,cora.nakamura@uni.edu,CS 2810 Section 01,10,9.4,10,10,10,9.8,9.9,10,20,18.2,20,20,99.5,94.3,,,,,
"Nakamura, Elena",4000273,900162057S,elena.nakamura@uni.edu,CS 2810 Section 02,9.4,8.8,8.8,10,9.4,10,9,9.6,16.7,18.4,18.2,15.3,94.1,88.1,,,,,
"Abbott, Tess",4000286,900169774S,tess.abbott@uni.edu,CS 2810 Section 01,9.1,9.6,8.7,9.2,9.7,10,9.5,8.4,14.9,14.1,14.9,17.9,91.2,91.8,,,,,
"Abbott, Uma",4000299,900177491S,uma.abbott@uni.edu,CS 2810 Section 02,5.9,8.3,7.8,7.2,8.4,8,8,6.4,16.1,14.9,15.3,13.9,70.6,65.6,,,,,
"Xu, Omar",4000312,900185208S,omar.xu@uni.edu,CS 2810 Section 01,8.2,7.6,8.3,7.7,9.2,7,8.7,7.7,12.9,14.6,16.5,14.4,91.6,79.7,,,,,
"Gupta, Dev",4000325,900192925S,dev.gupta@uni.edu,CS 2810 Section 02,8.3,8.6,8.4,8,8.9,7.7,7.7,7.9,15.3,14.3,18.9,15.2,74.8,74.7,,,,,
"Kaur, Yara",4000338,900200642S,yara.kaur@uni.edu,CS 2810 Section 01,4.9,5.4,5.2,5,5.7,5.1,5.2,5.6,10.4,10.3,9,10.8,57,53.2,,,,,
"Baker, Elena",4000351,900208359S,elena.baker@uni.edu,CS 2810 Section 02,8.8,7.5,8.7,7.1,8.5,7.2,8.1,8.1,16.8,18.1,17.2,16.6,74.1,,77.3,,,,
"Abbott, Maya",4000364,900216076S,maya.abbott@uni.edu,CS 2810 Section 01,7.9,7.2,8.9,8.2,8.1,7.9,9.6,8.1,17.4,17.2,17.4,17.7,71.6,,87.8,,,,
"Nakamura, Rosa",4000377,900223793S,rosa.nakamura@uni.edu,CS 2810 Section 02,7.4,8.9,8.4,8.9,8.9,8.6,8.5,9.4,15.5,15.9,16.9,17.1,75.2,82.6,,,,,
"Ueda, Vik",4000390,900231510S,vik.ueda@uni.edu,CS 2810 Section 01,9.2,9.7,9.4,7.7,8.6,9,9,8.9,16.2,16.7,13.2,14.2,76,71.1,,,,,
"Ibrahim, Liam",4000403,900239227S,liam.ibrahim@uni.edu,CS 2810 Section 02,7.5,8.3,6.7,7.6,8.6,7.5,8.9,7.8,15.6,17.8,16,13.8,56,59.1,,,,,
"Patel, Priya",4000416,900246944S,priya.patel@uni.edu,CS 2810 Section 01,8,8,7.7,7.9,7.1,7.2,8.4,8.5,15.8,16.8,14.5,15.8,86.5,86.6,,,,,
"Weber, Wren",4000429,900254661S,wren.weber@uni.edu,CS 2810 Section 02,9.4,8.9,9.9,10,9.4,9.9,10,9.4,19.1,16.4,16.1,18.2,100,94.7,,,,,
"Foster, Tess",4000442,900262378S,tess.foster@uni.edu,CS 2810 Section 01,6.1,6.4,7,7.5,7.7,7.3,6.8,5.5,13.3,14.9,14.2,15.5,64.3,71.8,,,,,
"Silva, Elena",4000455,900270095S,elena.silva@uni.edu,CS 2810 Section 02,9.1,10,9.4,9.9,9.2,9.5,9.9,9.5,19.6,17.2,16.6,16.2,78.4,82.5,,,,,
"Lopez, Dev",4000468,900277812S,dev.lopez@uni.edu,CS 2810 Section 01,8.4,8.8,7.2,9,10,9.2,8.3,8,17.3,18,17.5,18.2,72.5,77,,,,,
"Weber, Liam",4000481,900285529S,liam.weber@uni.edu,CS 2810 Section 02,8.5,8.8,8.8,9.1,7.5,8.6,9.3,8.6,15.8,13.5,16.6,13.6,97.5,100,,,,,
"O'Brien, Tess",4000494,900293246S,tess.obrien@uni.edu,CS 2810 Section 01,6.9,6.7,6.4,5.4,6.9,7.5,6,6.9,16.6,16,15.6,16.4,62.1,59.9,,,,,
"Weber, Vik",4000507,900300963S,vik.weber@uni.edu,CS 2810 Section 02,9.5,8.8,9.6,9.7,8.8,8.5,7,8,15.3,14,13.6,15.4,72.9,82,,,,,
"Young, Uma",4000520,900308680S,uma.young@uni.edu,CS 2810 Section 01,9.7,9.7,9.1,9.9,8.1,9.2,8.3,9.6,20,20,16.9,16.8,97.7,100,,,,,
"Xu, Ava",4000533,900316397S,ava.xu@uni.edu,CS 2810 Section 02,8.4,9.6,9.9,9.6,9.2,8.6,9.9,9.2,20,20,20,20,100,95.5,,,,,
"Abbott, Wren",4000546,900324114S,wren.abbott@uni.edu,CS 2810 Section 01,10,9.7,10,9,10,10,10,,18.9,19.8,19,18.3,100,93,,,,,
"Kaur, Cora",4000559,900331831S,cora.kaur@uni.edu,CS 2810 Section 02,10,9.8,10,10,10,10,9.2,9.6,20,19.7,19.6,18.7,94.9,91.3,,,,,
"Lopez, Zane",4000572,900339548S,zane.lopez@uni.edu,CS 2810 Section 01,10,9.6,,9.2,8.9,10,9.9,9.8,20,20,20,19.9,100,97.4,,,,,
"Cruz, Omar",4000585,900347265S,omar.cruz@uni.edu,CS 2810 Section 02,9.2,9.8,10,8.7,8.6,10,9.4,9.3,20,20,18,20,100,98.5,,,,,
"Kaur, Iris",4000598,900354982S,iris.kaur@uni.edu,CS 2810 Section 01,8.6,8.2,8.2,8.7,8.1,7.9,8.3,8.6,17.5,18.3,15.9,16.7,100,72.5,,,,,
"Ueda, Quinn",4000611,900362699S,quinn.ueda@uni.edu,CS 2810 Section 02,9,9.8,9.8,10,8.9,9.7,9,9.8,18.5,20,20,20,91,93.5,,,,,
"Moreau, Quinn",4000624,900370416S,quinn.moreau@uni.edu,CS 2810 Section 01,9.8,9,8,8.9,8.8,8.1,8.6,9.1,19.8,19,18,17.6,79.7,100,,,,,
"Cruz, Kira",4000637,900378133S,kira.cruz@uni.edu,CS 2810 Section 02,10,8.4,9,9.2,8.3,7.5,8.9,8.4,16.9,19.5,18.1,17.7,73.5,85.2,,,,,
"Nakamura, Zane",4000650,900385850S,zane.nakamura@uni.edu,CS 2810 Section 01,9.6,9.4,9.1,9.7,9.9,9.1,8.7,8.8,18.3,19.1,19,18.4,79.5,76.2,,,,,
"Hayes, Sam",4000663,900393567S,sam.hayes@uni.edu,CS 2810 Section 02,7,6.6,6.8,6.2,7.1,6.9,6.6,7.6,12,11.8,13.2,13.4,66.1,59.4,,,,,
"Lopez, Grace",4000676,900401284S,grace.lopez@uni.edu,CS 2810 Section 01,8,5.9,7,5.8,7,6.9,7.6,6.2,11.6,12.2,12.7,12.6,56.3,59.5,,,,,
"Vargas, Kira",4000689,900409001S,kira.vargas@uni.edu,CS 2810 Section 02,9.2,7.9,7.6,8.6,8.4,9,7.1,8.9,16.4,15.4,16.8,17.1,90.5,,78.5,,,,
"Young, Dev",4000702,900416718S,dev.young@uni.edu,CS 2810 Section 01,9.2,10,8.5,8.9,9.1,8.1,7.9,8.9,18.3,20,19.2,20,89.4,88.9,,,,,
"Jensen, Grace",4000715,900424435S,grace.jensen@uni.edu,CS 2810 Section 02,6.2,6.6,5.7,6.7,6.4,7.4,6.3,6.6,13.7,11.3,9.7,12.3,59,69.4,,,,,
"Abbott, Xime",4000728,900432152S,xime.abbott@uni.edu,CS 2810 Section 01,7.2,8,6.5,7.2,7.9,7.9,7.2,6.1,13.3,12.8,10,13.2,65.4,67.7,,,,,
"O'Brien, Kira",4000741,900439869S,kira.obrien@uni.edu,CS 2810 Section 02,9.1,8.2,8.6,9,9.7,8.5,9.4,9.5,19.6,17.8,18,20,86,91,,,,,
"Ueda, Ben",4000754,900447586S,ben.ueda@uni.edu,CS 2810 Section 01,9.7,10,9.3,10,9.2,10,8.9,8.6,20,20,18.9,19,100,91.1,,,,,
"Evans, Kira",4000767,900455303S,kira.evans@uni.edu,CS 2810 Section 02,8.8,9.1,9.8,9.1,8.3,10,8.9,9,18,15,14,14.8,85.1,93.7,,,,,
"Vargas, Grace",4000780,900463020S,grace.vargas@uni.edu,CS 2810 Section 01,8.7,8.6,7.4,7.6,8.2,9,8.4,7.9,19.2,19.5,17,17.2,94.1,100,,,,,
"Ibrahim, Rosa",4000793,900470737S,rosa.ibrahim@uni.edu,CS 2810 Section 02,8.1,7.4,6.6,6.8,7.8,7.6,7.5,7.1,11.5,9.9,13.8,12.2,68.7,83.3,,,,,
"Foster, Vik",4000806,900478454S,vik.foster@uni.edu,CS 2810 Section 01,9.5,10,9.7,9.7,10,9.4,9.9,9.4,20,20,19.1,19.8,93.7,91.3,,,,,
"Hayes, Kira",4000819,900486171S,kira.hayes@uni.edu,CS 2810 Section 02,10,8.7,8.7,9.3,10,9.4,9.5,9.9,19.9,18.6,20,18.8,96.6,100,,,,,
"Rossi, Cora",4000832,900493888S,cora.rossi@uni.edu,CS 2810 Section 01,8.4,8.7,8.3,9,9.9,8.9,8.4,8.5,18.8,16.7,16.7,17.6,81.2,88.3,,,,,
"Young, Xime",4000845,900501605S,xime.young@uni.edu,CS 2810 Section 02,7.7,6.8,8,7.6,6.4,5.9,7.1,8.6,15.4,18.2,15.3,14.5,73.4,72,,,,,
"Foster, Grace",4000858,900509322S,grace.foster@uni.edu,CS 2810 Section 01,8,7.3,6.9,6.8,7.2,7.5,6.7,7.2,16.2,14.9,15.1,12.1,85.6,72.3,,,,,
"Gupta, Wren",4000871,900517039S,wren.gupta@uni.edu,CS 2810 Section 02,6.1,7.3,8.8,7.7,7.5,7.2,8.5,7.1,12.6,14.3,13.9,15.4,67.3,55.7,,,,,
"Quan, Vik",4000884,900524756S,vik.quan@uni.edu,CS 2810 Section 01,8.4,9.4,9.2,7.5,8.8,9,9.5,8.1,18.2,19.1,15.7,15,83.5,88.5,,,,,
"Zhao, Quinn",4000897,900532473S,quinn.zhao@uni.edu,CS 2810 Section 02,7.6,7.5,8.5,9.1,7.9,8.7,9,7.9,17.2,18.2,17,17.1,93.7,96.9,,,,,
"Foster, Elena",4000910,900540190S,elena.foster@uni.edu,CS 2810 Section 01,9,9.6,9,9.1,7.9,8.5,9.7,9.1,13.3,13.8,17.4,14.5,82.2,74,,,,,
"O'Brien, Hugo",4000923,900547907S,hugo.obrien@uni.edu,CS 2810 Section 02,9.1,9.9,9.8,9.8,9,9.3,8.5,8.9,20,18.4,19.6,20,88.2,87.7,,,,,
"Nakamura, Yara",4000936,900555624S,yara.nakamura@uni.edu,CS 2810 Section 01,9.7,8.8,9.8,9,8.8,8.7,9.5,9.2,20,19.9,20,20,92.6,92.3,,,,,
"Vargas, Hugo",4000949,900563341S,hugo.vargas@uni.edu,CS 2810 Section 02,9.5,9.9,10,9.1,8.7,10,,10,19.7,15.7,17.6,15,78.1,79,,,,,
"Ueda, Dev",4000962,900571058S,dev.ueda@uni.edu,CS 2810 Section 01,7.8,8.4,7.7,8.2,8.4,8,7.4,6.4,15.7,15.3,16.4,16.4,90.3,77.7,,,,,
"Xu, Rosa",4000975,900578775S,rosa.xu@uni.edu,CS 2810 Section 02,8,6.5,6.9,7.5,5.7,5.9,7.5,7.4,11.5,11.2,11.7,12.8,75.5,71.9,,,,,
"Rossi, Uma",4000988,900586492S,uma.rossi@uni.edu,CS 2810 Section 01,8.2,8,8.4,6.6,7.9,6.8,7.3,8,16.4,16.3,17.9,16.2,78.6,85.7,,,,,
"Ibrahim, Maya",4001001,900594209S,maya.ibrahim@uni.edu,CS 2810 Section 02,6.9,6.4,6.5,7.1,6.5,8.9,7.1,6.5,13.4,14.9,12.7,13.4,75.8,76.4,,,,,
"Young, Hugo",4001014,900601926S,hugo.young@uni.edu,CS 2810 Section 01,8.5,7.8,7.9,7.4,7.2,7.9,8.4,7.3,15.8,15.3,15.4,14.1,81.7,82.4,,,,,
"Gupta, Cora",4001027,900609643S,cora.gupta@uni.edu,CS 2810 Section 02,7.6,7.9,7.9,8.2,6.3,7.9,7.9,7.9,15.8,15.3,14.3,15,85.7,94.2,,,,,
"O'Brien, Priya",4001040,900617360S,priya.obrien@uni.edu,CS 2810 Section 01,7.7,6.6,6.8,8.2,6.6,7.4,7.9,7,11.1,11.5,10.9,10.5,97,100,,,,,
"Cruz, Dev",4001053,900625077S,dev.cruz@uni.edu,CS 2810 Section 02,7.1,5.8,7.4,6.5,7.1,7.5,,7.9,13.1,11.8,13.7,13.8,47.5,63.7,,,,,
"Ueda, Uma",4001066,900632794S,uma.ueda@uni.edu,CS 2810 Section 01,8,8.7,9.1,9.1,9.1,9.4,9.6,8.5,17.8,16.8,17.6,15.7,91.3,83.9,,,,,
"Moreau, Uma",4001079,900640511S,uma.moreau@uni.edu,CS 2810 Section 02,7.2,7.2,7.9,8.8,8.2,8,8.4,7.9,17.5,17.3,17.4,17.6,80.8,83.1,,,,,
"Evans, Maya",4001092,900648228S,maya.evans@uni.edu,CS 2810 Section 01,8.5,9.1,9.7,10,9.9,9.1,9,8.3,20,17.7,17.9,18.9,94.6,83.6,,,,,
"Quan, Grace",4001105,900655945S,grace.quan@uni.edu,CS 2810 Section 02,8.7,9.2,9.5,8,8.8,8.5,9.1,9.4,14.9,16.8,16.4,17.5,86.9,93,,,,,
"Foster, Finn",4001118,900663662S,finn.foster@uni.edu,CS 2810 Section 01,5.3,6.5,6.5,5.6,6.2,5.9,6.9,6.3,9.7,9.9,12.8,12.6,59.1,43.7,,,,,
"Diaz, Yara",4001131,900671379S,yara.diaz@uni.edu,CS 2810 Section 02,7.3,7.9,7.2,8.1,7.6,7.6,8.7,7.6,16.2,16.3,16.5,16.7,74.4,69.1,,,,,
"O'Brien, Omar",4001144,900679096S,omar.obrien@uni.edu,CS 2810 Section 01,8,8.4,8.6,9.1,8.5,8.8,7.5,8.7,14,15.9,14.1,16.1,86.1,78.6,,,,,
"Ueda, Cora",4001157,900686813S,cora.ueda@uni.edu,CS 2810 Section 02,9.1,10,10,9.2,10,9.8,10,9.2,17.7,17.1,17.3,15.7,96.7,97.7,,,,,
"Ibrahim, Grace",4001170,900694530S,grace.ibrahim@uni.edu,CS 2810 Section 01,9.3,8.9,7.8,8.5,8.2,7.5,8.1,9.1,11.8,15,14.9,14.4,87.9,79.1,,,,,
"Silva, Grace",4001183,900702247S,grace.silva@uni.edu,CS 2810 Section 02,7.3,7.7,7.8,6.9,6.1,7.1,6.5,7.6,16.2,12.5,13.3,12.7,46.2,57.1,,,,,
"Abbott, Rosa",4001196,900709964S,rosa.abbott@uni.edu,CS 2810 Section 01,6.7,6.1,6.1,6.9,7.1,6.3,7.2,5.6,11.3,10.5,10.8,10.9,70,74.5,,,,,
"Moreau, Priya",4001209,900717681S,priya.moreau@uni.edu,CS 2810 Section 02,9.4,9.1,8.6,7.8,7.8,8.3,8.4,8.3,15.9,16.7,17.4,18,96.4,96.7,,,,,
"Moreau, Ava",4001222,900725398S,ava.moreau@uni.edu,CS 2810 Section 01,7,7.7,6.9,7.7,5.9,7,6.7,6.7,10.9,10.6,10.8,11.6,58.5,54.2,,,,,
"Lopez, Yara",4001235,900733115S,yara.lopez@uni.edu,CS 2810 Section 02,8.5,9.7,10,9,8.8,9.9,9.7,8.7,19.6,17.2,17.3,19.8,97.8,84.1,,,,,
"Cruz, Uma",4001248,900740832S,uma.cruz@uni.edu,CS 2810 Section 01,8.7,8.6,7.2,8.3,7.7,8,7.8,8,14.6,14.5,13.9,15.9,69.6,78,,,,,
"Kaur, Xime",4001261,900748549S,xime.kaur@uni.edu,CS 2810 Section 02,7.8,8.5,7.7,9.3,7.6,9.2,8.7,8.6,16.3,15.9,16.1,14.8,80.2,74.6,,,,,
"Silva, Wren",4001274,900756266S,wren.silva@uni.edu,CS 2810 Section 01,5.8,5.3,6.5,6.9,6,5.6,7.3,5.8,13.1,13.1,11.8,12.7,76.6,67.6,,,,,
"Vargas, Wren",4001287,900763983S,wren.vargas@uni.edu,CS 2810 Section 02,9.4,9.2,9.4,9.6,8.8,9.9,9.7,10,16.2,19.6,17.8,18,100,100,,,,,
