First Name,Last Name,SID,Email,Sections,HW1,HW1 - Max Points,HW1 - Submission Time,HW1 - Lateness (H:M:S),HW2,HW2 - Max Points,HW2 - Submission Time,HW2 - Lateness (H:M:S),HW3,HW3 - Max Points,HW3 - Submission Time,HW3 - Lateness (H:M:S),HW4,HW4 - Max Points,HW4 - Submission Time,HW4 - Lateness (H:M:S),HW5,HW5 - Max Points,HW5 - Submission Time,HW5 - Lateness (H:M:S),HW6,HW6 - Max Points,HW6 - Submission Time,HW6 - Lateness (H:M:S),HW7,HW7 - Max Points,HW7 - Submission Time,HW7 - Lateness (H:M:S),HW8,HW8 - Max Points,HW8 - Submission Time,HW8 - Lateness (H:M:S),Quiz1,Quiz1 - Max Points,Quiz1 - Submission Time,Quiz1 - Lateness (H:M:S),Quiz2,Quiz2 - Max Points,Quiz2 - Submission Time,Quiz2 - Lateness (H:M:S),Quiz3,Quiz3 - Max Points,Quiz3 - Submission Time,Quiz3 - Lateness (H:M:S),Quiz4,Quiz4 - Max Points,Quiz4 - Submission Time,Quiz4 - Lateness (H:M:S),Exam1,Exam1 - Max Points,Exam1 - Submission Time,Exam1 - Lateness (H:M:S),Exam2a,Exam2a - Max Points,Exam2a - Submission Time,Exam2a - Lateness (H:M:S),Exam2b,Exam2b - Max Points,Exam2b - Submission Time,Exam2b - Lateness (H:M:S)
Clutch,Chen,900077170S,clutch.chen@uni.edu,CS 2810 Section 01,0.4,10,2026-04-21 23:14:07 -0400,00:00:00,1.8,10,2026-04-21 23:14:07 -0400,00:00:00,3.8,10,2026-04-21 23:14:07 -0400,00:00:00,5.1,10,2026-04-21 23:14:07 -0400,00:00:00,6,10,2026-04-21 23:14:07 -0400,00:00:00,8.1,10,2026-04-21 23:14:07 -0400,00:00:00,8.1,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,7,20,2026-04-21 23:14:07 -0400,00:00:00,11,20,2026-04-21 23:14:07 -0400,00:00:00,17,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,58.2,100,2026-04-21 23:14:07 -0400,00:00:00,100,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Quiz-Flunking,Quinn,900084887S,quizflunking.quinn@uni.edu,CS 2810 Section 02,8.5,10,2026-04-21 23:14:07 -0400,00:00:00,9.6,10,2026-04-21 23:14:07 -0400,00:00:00,9.5,10,2026-04-21 23:14:07 -0400,00:00:00,9.1,10,2026-04-21 23:14:07 -0400,00:00:00,9.6,10,2026-04-21 23:14:07 -0400,00:00:00,8.8,10,2026-04-21 23:14:07 -0400,00:00:00,9.8,10,2026-04-21 23:14:07 -0400,00:00:00,9.4,10,2026-04-21 23:14:07 -0400,00:00:00,7.2,20,2026-04-21 23:14:07 -0400,00:00:00,9.9,20,2026-04-21 23:14:07 -0400,00:00:00,8.3,20,2026-04-21 23:14:07 -0400,00:00:00,6.6,20,2026-04-21 23:14:07 -0400,00:00:00,66.4,100,2026-04-21 23:14:07 -0400,00:00:00,77.6,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Exam-Ace,Ellis,900092604S,examace.ellis@uni.edu,CS 2810 Section 01,6.3,10,2026-04-21 23:14:07 -0400,00:00:00,5.9,10,2026-04-21 23:14:07 -0400,00:00:00,6.2,10,2026-04-21 23:14:07 -0400,00:00:00,6.4,10,2026-04-21 23:14:07 -0400,00:00:00,5.6,10,2026-04-21 23:14:07 -0400,00:00:00,6.4,10,2026-04-21 23:14:07 -0400,00:00:00,6.7,10,2026-04-21 23:14:07 -0400,00:00:00,6.2,10,2026-04-21 23:14:07 -0400,00:00:00,13.7,20,2026-04-21 23:14:07 -0400,00:00:00,15.5,20,2026-04-21 23:14:07 -0400,00:00:00,13.2,20,2026-04-21 23:14:07 -0400,00:00:00,14.6,20,2026-04-21 23:14:07 -0400,00:00:00,95.9,100,2026-04-21 23:14:07 -0400,00:00:00,99.2,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Borderline,Bailey,900100321S,borderline.bailey@uni.edu,CS 2810 Section 02,9,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,18,20,2026-04-21 23:14:07 -0400,00:00:00,18,20,2026-04-21 23:14:07 -0400,00:00:00,18,20,2026-04-21 23:14:07 -0400,00:00:00,18,20,2026-04-21 23:14:07 -0400,00:00:00,90,100,2026-04-21 23:14:07 -0400,00:00:00,90,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Retake,Reyes,900108038S,retake.reyes@uni.edu,CS 2810 Section 01,6.9,10,2026-04-21 23:14:07 -0400,00:00:00,8.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.5,10,2026-04-21 23:14:07 -0400,00:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,9.4,10,2026-04-21 23:14:07 -0400,00:00:00,8.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.5,10,2026-04-21 23:14:07 -0400,00:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,15.5,20,2026-04-21 23:14:07 -0400,00:00:00,13.2,20,2026-04-21 23:14:07 -0400,00:00:00,16.4,20,2026-04-21 23:14:07 -0400,00:00:00,15.4,20,2026-04-21 23:14:07 -0400,00:00:00,74.2,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,,85.7,100,2026-04-21 23:14:07 -0400,00:00:00
Makeup,Mbeki,900115755S,makeup.mbeki@uni.edu,CS 2810 Section 02,8,10,2026-04-21 23:14:07 -0400,00:00:00,8.5,10,2026-04-21 23:14:07 -0400,00:00:00,8,10,2026-04-21 23:14:07 -0400,00:00:00,8.1,10,2026-04-21 23:14:07 -0400,00:00:00,8.1,10,2026-04-21 23:14:07 -0400,00:00:00,9.6,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,8.5,10,2026-04-21 23:14:07 -0400,00:00:00,15.4,20,2026-04-21 23:14:07 -0400,00:00:00,14.9,20,2026-04-21 23:14:07 -0400,00:00:00,15.4,20,2026-04-21 23:14:07 -0400,00:00:00,15.9,20,2026-04-21 23:14:07 -0400,00:00:00,82.8,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,,99.9,100,2026-04-21 23:14:07 -0400,00:00:00
Waived,Walsh,900123472S,waived.walsh@uni.edu,CS 2810 Section 01,9.1,10,2026-04-21 23:14:07 -0400,00:00:00,8.8,10,2026-04-21 23:14:07 -0400,00:00:00,8.7,10,2026-04-21 23:14:07 -0400,00:00:00,7.4,10,2026-04-21 23:14:07 -0400,00:00:00,9.4,10,2026-04-21 23:14:07 -0400,00:00:00,,10,,,8.4,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,16.2,20,2026-04-21 23:14:07 -0400,00:00:00,17.6,20,2026-04-21 23:14:07 -0400,00:00:00,17,20,2026-04-21 23:14:07 -0400,00:00:00,19.2,20,2026-04-21 23:14:07 -0400,00:00:00,81,100,2026-04-21 23:14:07 -0400,00:00:00,76,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Zero,Zheng,900131189S,zero.zheng@uni.edu,CS 2810 Section 02,7.2,10,2026-04-21 23:14:07 -0400,00:00:00,8,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,8.5,10,2026-04-21 23:14:07 -0400,00:00:00,8.1,10,2026-04-21 23:14:07 -0400,00:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,7.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,14.7,20,2026-04-21 23:14:07 -0400,00:00:00,15.8,20,2026-04-21 23:14:07 -0400,00:00:00,15.6,20,2026-04-21 23:14:07 -0400,00:00:00,16.9,20,2026-04-21 23:14:07 -0400,00:00:00,0,100,2026-04-21 23:14:07 -0400,00:00:00,80.1,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Cora,Abbott,900138906S,cora.abbott@uni.edu,CS 2810 Section 01,6.9,10,2026-04-21 23:14:07 -0400,00:00:00,7.8,10,2026-04-21 23:14:07 -0400,00:00:00,8.5,10,2026-04-21 23:14:07 -0400,00:00:00,7.5,10,2026-04-21 23:14:07 -0400,00:00:00,8,10,2026-04-21 23:14:07 -0400,00:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,7.7,10,2026-04-21 23:14:07 -0400,00:00:00,7.8,10,2026-04-21 23:14:07 -0400,00:00:00,13,20,2026-04-21 23:14:07 -0400,00:00:00,16.1,20,2026-04-21 23:14:07 -0400,00:00:00,15.1,20,2026-04-21 23:14:07 -0400,00:00:00,14.6,20,2026-04-21 23:14:07 -0400,00:00:00,81.5,100,2026-04-21 23:14:07 -0400,00:00:00,94.4,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Xime,Zhao,900146623S,xime.zhao@uni.edu,CS 2810 Section 02,7.2,10,2026-04-21 23:14:07 -0400,00:00:00,6.8,10,2026-04-21 23:14:07 -0400,00:00:00,6.9,10,2026-04-21 23:14:07 -0400,00:00:00,5.9,10,2026-04-21 23:14:07 -0400,00:00:00,7.7,10,2026-04-21 23:14:07 -0400,00:00:00,6.9,10,2026-04-21 23:14:07 -0400,00:00:00,6.4,10,2026-04-21 23:14:07 -0400,00:00:00,7.5,10,2026-04-21 23:14:07 -0400,00:00:00,16.3,20,2026-04-21 23:14:07 -0400,00:00:00,18,20,2026-04-21 23:14:07 -0400,00:00:00,16.3,20,2026-04-21 23:14:07 -0400,00:00:00,14.7,20,2026-04-21 23:14:07 -0400,00:00:00,63.4,100,2026-04-21 23:14:07 -0400,00:00:00,58.1,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Cora,Nakamura,900154340S,cora.nakamura@uni.edu,CS 2810 Section 01,10,10,2026-04-21 23:14:07 -0400,00:00:00,9.4,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,9.8,10,2026-04-21 23:14:07 -0400,00:00:00,9.9,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,18.2,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,99.5,100,2026-04-21 23:14:07 -0400,00:00:00,94.3,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Elena,Nakamura,900162057S,elena.nakamura@uni.edu,CS 2810 Section 02,9.4,10,2026-04-21 23:14:07 -0400,00:00:00,8.8,10,2026-04-21 23:14:07 -0400,00:00:00,8.8,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,9.4,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,9.6,10,2026-04-21 23:14:07 -0400,00:00:00,16.7,20,2026-04-21 23:14:07 -0400,00:00:00,18.4,20,2026-04-21 23:14:07 -0400,00:00:00,18.2,20,2026-04-21 23:14:07 -0400,00:00:00,15.3,20,2026-04-21 23:14:07 -0400,00:00:00,94.1,100,2026-04-21 23:14:07 -0400,00:00:00,88.1,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Tess,Abbott,900169774S,tess.abbott@uni.edu,CS 2810 Section 01,9.1,10,2026-04-21 23:14:07 -0400,00:00:00,9.6,10,2026-04-21 23:14:07 -0400,00:00:00,8.7,10,2026-04-21 23:14:07 -0400,00:00:00,9.2,10,2026-04-21 23:14:07 -0400,00:00:00,9.7,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,9.5,10,2026-04-21 23:14:07 -0400,00:00:00,8.4,10,2026-04-21 23:14:07 -0400,00:00:00,14.9,20,2026-04-21 23:14:07 -0400,00:00:00,14.1,20,2026-04-21 23:14:07 -0400,00:00:00,14.9,20,2026-04-21 23:14:07 -0400,00:00:00,17.9,20,2026-04-21 23:14:07 -0400,00:00:00,91.2,100,2026-04-21 23:14:07 -0400,00:00:00,91.8,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Uma,Abbott,900177491S,uma.abbott@uni.edu,CS 2810 Section 02,5.9,10,2026-04-21 23:14:07 -0400,00:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,7.8,10,2026-04-21 23:14:07 -0400,00:00:00,7.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.4,10,2026-04-21 23:14:07 -0400,00:00:00,8,10,2026-04-21 23:14:07 -0400,00:00:00,8,10,2026-04-21 23:14:07 -0400,00:00:00,6.4,10,2026-04-21 23:14:07 -0400,00:00:00,16.1,20,2026-04-21 23:14:07 -0400,00:00:00,14.9,20,2026-04-21 23:14:07 -0400,00:00:00,15.3,20,2026-04-21 23:14:07 -0400,00:00:00,13.9,20,2026-04-21 23:14:07 -0400,00:00:00,70.6,100,2026-04-21 23:14:07 -0400,00:00:00,65.6,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Omar,Xu,900185208S,omar.xu@uni.edu,CS 2810 Section 01,8.2,10,2026-04-21 23:14:07 -0400,00:00:00,7.6,10,2026-04-21 23:14:07 -0400,00:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,7.7,10,2026-04-21 23:14:07 -0400,00:00:00,9.2,10,2026-04-21 23:14:07 -0400,00:00:00,7,10,2026-04-21 23:14:07 -0400,00:00:00,8.7,10,2026-04-21 23:14:07 -0400,00:00:00,7.7,10,2026-04-21 23:14:07 -0400,00:00:00,12.9,20,2026-04-21 23:14:07 -0400,00:00:00,14.6,20,2026-04-21 23:14:07 -0400,00:00:00,16.5,20,2026-04-21 23:14:07 -0400,00:00:00,14.4,20,2026-04-21 23:14:07 -0400,00:00:00,91.6,100,2026-04-21 23:14:07 -0400,00:00:00,79.7,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Dev,Gupta,900192925S,dev.gupta@uni.edu,CS 2810 Section 02,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,8.4,10,2026-04-21 23:14:07 -0400,00:00:00,8,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,7.7,10,2026-04-21 23:14:07 -0400,00:00:00,7.7,10,2026-04-21 23:14:07 -0400,00:00:00,7.9,10,2026-04-21 23:14:07 -0400,00:00:00,15.3,20,2026-04-21 23:14:07 -0400,00:00:00,14.3,20,2026-04-21 23:14:07 -0400,00:00:00,18.9,20,2026-04-21 23:14:07 -0400,00:00:00,15.2,20,2026-04-21 23:14:07 -0400,00:00:00,74.8,100,2026-04-21 23:14:07 -0400,00:00:00,74.7,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Yara,Kaur,900200642S,yara.kaur@uni.edu,CS 2810 Section 01,4.9,10,2026-04-21 23:14:07 -0400,00:00:00,5.4,10,2026-04-21 23:14:07 -0400,00:00:00,5.2,10,2026-04-21 23:14:07 -0400,00:00:00,5,10,2026-04-21 23:14:07 -0400,00:00:00,5.7,10,2026-04-21 23:14:07 -0400,00:00:00,5.1,10,2026-04-21 23:14:07 -0400,00:00:00,5.2,10,2026-04-21 23:14:07 -0400,00:00:00,5.6,10,2026-04-21 23:14:07 -0400,00:00:00,10.4,20,2026-04-21 23:14:07 -0400,00:00:00,10.3,20,2026-04-21 23:14:07 -0400,00:00:00,9,20,2026-04-21 23:14:07 -0400,00:00:00,10.8,20,2026-04-21 23:14:07 -0400,00:00:00,57,100,2026-04-21 23:14:07 -0400,00:00:00,53.2,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Elena,Baker,900208359S,elena.baker@uni.edu,CS 2810 Section 02,8.8,10,2026-04-21 23:14:07 -0400,00:00:00,7.5,10,2026-04-21 23:14:07 -0400,00:00:00,8.7,10,2026-04-21 23:14:07 -0400,00:00:00,7.1,10,2026-04-21 23:14:07 -0400,00:00:00,8.5,10,2026-04-21 23:14:07 -0400,00:00:00,7.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.1,10,2026-04-21 23:14:07 -0400,00:00:00,8.1,10,2026-04-21 23:14:07 -0400,00:00:00,16.8,20,2026-04-21 23:14:07 -0400,00:00:00,18.1,20,2026-04-21 23:14:07 -0400,00:00:00,17.2,20,2026-04-21 23:14:07 -0400,00:00:00,16.6,20,2026-04-21 23:14:07 -0400,00:00:00,74.1,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,,77.3,100,2026-04-21 23:14:07 -0400,00:00:00
Maya,Abbott,900216076S,maya.abbott@uni.edu,CS 2810 Section 01,7.9,10,2026-04-21 23:14:07 -0400,00:00:00,7.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,8.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.1,10,2026-04-21 23:14:07 -0400,00:00:00,7.9,10,2026-04-21 23:14:07 -0400,00:00:00,9.6,10,2026-04-21 23:14:07 -0400,00:00:00,8.1,10,2026-04-21 23:14:07 -0400,00:00:00,17.4,20,2026-04-21 23:14:07 -0400,00:00:00,17.2,20,2026-04-21 23:14:07 -0400,00:00:00,17.4,20,2026-04-21 23:14:07 -0400,00:00:00,17.7,20,2026-04-21 23:14:07 -0400,00:00:00,71.6,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,,87.8,100,2026-04-21 23:14:07 -0400,00:00:00
Rosa,Nakamura,900223793S,rosa.nakamura@uni.edu,CS 2810 Section 02,7.4,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,8.4,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,8.5,10,2026-04-21 23:14:07 -0400,00:00:00,9.4,10,2026-04-21 23:14:07 -0400,00:00:00,15.5,20,2026-04-21 23:14:07 -0400,00:00:00,15.9,20,2026-04-21 23:14:07 -0400,00:00:00,16.9,20,2026-04-21 23:14:07 -0400,00:00:00,17.1,20,2026-04-21 23:14:07 -0400,00:00:00,75.2,100,2026-04-21 23:14:07 -0400,00:00:00,82.6,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Vik,Ueda,900231510S,vik.ueda@uni.edu,CS 2810 Section 01,9.2,10,2026-04-21 23:14:07 -0400,00:00:00,9.7,10,2026-04-21 23:14:07 -0400,00:00:00,9.4,10,2026-04-21 23:14:07 -0400,00:00:00,7.7,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,9,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,16.2,20,2026-04-21 23:14:07 -0400,00:00:00,16.7,20,2026-04-21 23:14:07 -0400,00:00:00,13.2,20,2026-04-21 23:14:07 -0400,00:00:00,14.2,20,2026-04-21 23:14:07 -0400,00:00:00,76,100,2026-04-21 23:14:07 -0400,00:00:00,71.1,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
